Portfolio WBS,Description,Quantity,UOM,BAC,BAC Rate,Final Qty (AQ),Final Cost (AC),Final Rate,PQ,PV,AQ,AC,EV,Date,Project Name,Start,End
41,Demolition works,1.0,item,78845.10764946765,78845.10764946765,1.0,12448.88,12449.0,0.0,0.0,0.0,0.0,0.0,2011-10-01,P024 - P06 Urban Road Reconstruction,2011-11-01,2012-08-01
41,Demolition works,1.0,item,78845.10764946765,78845.10764946765,1.0,12448.88,12449.0,0.0,0.0,0.0,330.0,0.0,2011-11-01,P024 - P06 Urban Road Reconstruction,2011-11-01,2012-08-01
41,Demolition works,1.0,item,78845.10764946765,78845.10764946765,1.0,12448.88,12449.0,0.0,0.0,0.0,330.0,0.0,2011-12-01,P024 - P06 Urban Road Reconstruction,2011-11-01,2012-08-01
41,Demolition works,1.0,item,78845.10764946765,78845.10764946765,1.0,12448.88,12449.0,0.0,0.0,0.0,330.0,0.0,2012-01-01,P024 - P06 Urban Road Reconstruction,2011-11-01,2012-08-01
41,Demolition works,1.0,item,78845.10764946765,78845.10764946765,1.0,12448.88,12449.0,0.25,19711.276912366913,0.1,1352.8000000000002,7884.510764946765,2012-02-01,P024 - P06 Urban Road Reconstruction,2011-11-01,2012-08-01
41,Demolition works,1.0,item,78845.10764946765,78845.10764946765,1.0,12448.88,12449.0,0.5,39422.553824733826,0.15,2167.925,11826.766147420147,2012-03-01,P024 - P06 Urban Road Reconstruction,2011-11-01,2012-08-01
41,Demolition works,1.0,item,78845.10764946765,78845.10764946765,1.0,12448.88,12449.0,0.75,59133.83073710074,0.15,2167.925,11826.766147420147,2012-04-01,P024 - P06 Urban Road Reconstruction,2011-11-01,2012-08-01
41,Demolition works,1.0,item,78845.10764946765,78845.10764946765,1.0,12448.88,12449.0,1.0,78845.10764946765,0.55,7077.435000000001,43364.80920720721,2012-05-01,P024 - P06 Urban Road Reconstruction,2011-11-01,2012-08-01
41,Demolition works,1.0,item,78845.10764946765,78845.10764946765,1.0,12448.88,12449.0,1.0,78845.10764946765,0.55,7077.435000000001,43364.80920720721,2012-06-01,P024 - P06 Urban Road Reconstruction,2011-11-01,2012-08-01
41,Demolition works,1.0,item,78845.10764946765,78845.10764946765,1.0,12448.88,12449.0,1.0,78845.10764946765,0.9,11067.78,70960.59688452088,2012-07-01,P024 - P06 Urban Road Reconstruction,2011-11-01,2012-08-01
41,Demolition works,1.0,item,78845.10764946765,78845.10764946765,1.0,12448.88,12449.0,1.0,78845.10764946765,1.0,12448.88,78845.10764946765,2012-08-01,P024 - P06 Urban Road Reconstruction,2011-11-01,2012-08-01
41,Demolition works,1.0,item,78845.10764946765,78845.10764946765,1.0,12448.88,12449.0,1.0,78845.10764946765,1.0,12448.88,78845.10764946765,2012-09-01,P024 - P06 Urban Road Reconstruction,2011-11-01,2012-08-01
41,Demolition works,1.0,item,78845.10764946765,78845.10764946765,1.0,12448.88,12449.0,1.0,78845.10764946765,1.0,12448.88,78845.10764946765,2012-10-01,P024 - P06 Urban Road Reconstruction,2011-11-01,2012-08-01
41,Demolition works,1.0,item,78845.10764946765,78845.10764946765,1.0,12448.88,12449.0,1.0,78845.10764946765,1.0,12448.88,78845.10764946765,2012-11-01,P024 - P06 Urban Road Reconstruction,2011-11-01,2012-08-01
52,Stockpile to Fill,0.0,m3,0.0,0.0,10.0,193.5,19.35,0.0,0.0,0.0,0.0,0.0,2011-10-01,P024 - P06 Urban Road Reconstruction,2012-05-01,2012-05-01
52,Stockpile to Fill,0.0,m3,0.0,0.0,10.0,193.5,19.35,0.0,0.0,0.0,0.0,0.0,2011-11-01,P024 - P06 Urban Road Reconstruction,2012-05-01,2012-05-01
52,Stockpile to Fill,0.0,m3,0.0,0.0,10.0,193.5,19.35,0.0,0.0,0.0,0.0,0.0,2011-12-01,P024 - P06 Urban Road Reconstruction,2012-05-01,2012-05-01
52,Stockpile to Fill,0.0,m3,0.0,0.0,10.0,193.5,19.35,0.0,0.0,0.0,0.0,0.0,2012-01-01,P024 - P06 Urban Road Reconstruction,2012-05-01,2012-05-01
52,Stockpile to Fill,0.0,m3,0.0,0.0,10.0,193.5,19.35,0.0,0.0,0.0,0.0,0.0,2012-02-01,P024 - P06 Urban Road Reconstruction,2012-05-01,2012-05-01
52,Stockpile to Fill,0.0,m3,0.0,0.0,10.0,193.5,19.35,0.0,0.0,0.0,0.0,0.0,2012-03-01,P024 - P06 Urban Road Reconstruction,2012-05-01,2012-05-01
52,Stockpile to Fill,0.0,m3,0.0,0.0,10.0,193.5,19.35,0.0,0.0,0.0,0.0,0.0,2012-04-01,P024 - P06 Urban Road Reconstruction,2012-05-01,2012-05-01
52,Stockpile to Fill,0.0,m3,0.0,0.0,10.0,193.5,19.35,0.0,0.0,10.0,193.5,0.0,2012-05-01,P024 - P06 Urban Road Reconstruction,2012-05-01,2012-05-01
52,Stockpile to Fill,0.0,m3,0.0,0.0,10.0,193.5,19.35,0.0,0.0,10.0,193.5,0.0,2012-06-01,P024 - P06 Urban Road Reconstruction,2012-05-01,2012-05-01
52,Stockpile to Fill,0.0,m3,0.0,0.0,10.0,193.5,19.35,0.0,0.0,10.0,193.5,0.0,2012-07-01,P024 - P06 Urban Road Reconstruction,2012-05-01,2012-05-01
52,Stockpile to Fill,0.0,m3,0.0,0.0,10.0,193.5,19.35,0.0,0.0,10.0,193.5,0.0,2012-08-01,P024 - P06 Urban Road Reconstruction,2012-05-01,2012-05-01
52,Stockpile to Fill,0.0,m3,0.0,0.0,10.0,193.5,19.35,0.0,0.0,10.0,193.5,0.0,2012-09-01,P024 - P06 Urban Road Reconstruction,2012-05-01,2012-05-01
52,Stockpile to Fill,0.0,m3,0.0,0.0,10.0,193.5,19.35,0.0,0.0,10.0,193.5,0.0,2012-10-01,P024 - P06 Urban Road Reconstruction,2012-05-01,2012-05-01
52,Stockpile to Fill,0.0,m3,0.0,0.0,10.0,193.5,19.35,0.0,0.0,10.0,193.5,0.0,2012-11-01,P024 - P06 Urban Road Reconstruction,2012-05-01,2012-05-01
53,Cut to Spoil,7825.0,m3,129418.15,16.5390607028754,7825.0,308767.9830000002,39.45916932907348,120.0,1984.687284345048,384.0,18346.463999999993,6350.999309904153,2011-10-01,P024 - P06 Urban Road Reconstruction,2011-10-01,2012-10-01
53,Cut to Spoil,7825.0,m3,129418.15,16.5390607028754,7825.0,308767.9830000002,39.45916932907348,895.0,14802.459329073483,384.0,37000.539,6350.999309904153,2011-11-01,P024 - P06 Urban Road Reconstruction,2011-10-01,2012-10-01
53,Cut to Spoil,7825.0,m3,129418.15,16.5390607028754,7825.0,308767.9830000002,39.45916932907348,895.0,14802.459329073483,384.0,40441.93899999999,6350.999309904153,2011-12-01,P024 - P06 Urban Road Reconstruction,2011-10-01,2012-10-01
53,Cut to Spoil,7825.0,m3,129418.15,16.5390607028754,7825.0,308767.9830000002,39.45916932907348,2325.0,38453.316134185305,1257.0,71961.76399999997,20789.599303514377,2012-01-01,P024 - P06 Urban Road Reconstruction,2011-10-01,2012-10-01
53,Cut to Spoil,7825.0,m3,129418.15,16.5390607028754,7825.0,308767.9830000002,39.45916932907348,3323.0,54959.29871565495,1908.0,97868.88899999992,31556.52782108626,2012-02-01,P024 - P06 Urban Road Reconstruction,2011-10-01,2012-10-01
53,Cut to Spoil,7825.0,m3,129418.15,16.5390607028754,7825.0,308767.9830000002,39.45916932907348,4192.0,69331.74246645368,3134.0,114354.86399999993,51833.416242811494,2012-03-01,P024 - P06 Urban Road Reconstruction,2011-10-01,2012-10-01
53,Cut to Spoil,7825.0,m3,129418.15,16.5390607028754,7825.0,308767.9830000002,39.45916932907348,5892.0,97448.14566134186,3134.0,164115.94399999984,51833.416242811494,2012-04-01,P024 - P06 Urban Road Reconstruction,2011-10-01,2012-10-01
53,Cut to Spoil,7825.0,m3,129418.15,16.5390607028754,7825.0,308767.9830000002,39.45916932907348,6335.0,104774.94955271565,5721.0,188753.53149999984,94619.96628115016,2012-05-01,P024 - P06 Urban Road Reconstruction,2011-10-01,2012-10-01
53,Cut to Spoil,7825.0,m3,129418.15,16.5390607028754,7825.0,308767.9830000002,39.45916932907348,6987.0,115558.41713099042,6519.0,230001.57699999987,107818.13672204471,2012-06-01,P024 - P06 Urban Road Reconstruction,2011-10-01,2012-10-01
53,Cut to Spoil,7825.0,m3,129418.15,16.5390607028754,7825.0,308767.9830000002,39.45916932907348,7825.0,129418.15000000001,6780.0,238750.47699999987,112134.8315654952,2012-07-01,P024 - P06 Urban Road Reconstruction,2011-10-01,2012-10-01
53,Cut to Spoil,7825.0,m3,129418.15,16.5390607028754,7825.0,308767.9830000002,39.45916932907348,7825.0,129418.15000000001,7378.0,274349.87700000004,122025.1898658147,2012-08-01,P024 - P06 Urban Road Reconstruction,2011-10-01,2012-10-01
