Portfolio WBS,Quantity,UOM,BAC,BAC Rate,Planned Quantity,Planned Value,Actual Cost,Month,predicted_DT,predicted_RF,predicted_LR,predicted_SVM
41,1.0,item,15900.0,15900.0,0.5,7950.0,2852.48,October,2514.97,3374.73,4622.27,2771.92
41,1.0,item,15900.0,15900.0,0.5,7950.0,2365.0,November,2514.97,4152.45,5103.68,3232.07
53,2265.0,m3,62682.62,27.67,1600.0,44279.12,29649.68,October,20347.42,28600.78,30185.46,25782.35
53,2265.0,m3,62682.62,27.67,250.0,6918.61,4888.11,January,6137.31,6947.76,3594.85,6512.37
53,2265.0,m3,62682.62,27.67,215.0,5950.01,1592.9,February,6137.31,6615.64,3442.33,6431.33
61,11813.0,m2,13464.0,1.14,7813.0,8904.95,26831.6,October,18318.04,25981.24,26627.15,21401.78
62,8796.0,tonne,128112.86,14.56,5196.0,75679.22,113270.09,October,34485.97,22190.95,11743.6,24756.46
62,8796.0,tonne,128112.86,14.56,1804.0,26275.08,14249.12,January,5410.44,22120.09,24751.8,14811.49
62,8796.0,tonne,128112.86,14.56,796.0,11593.66,6182.02,February,15290.35,9377.79,4506.29,9645.9
63,23626.0,m2,10504.96,0.44,14760.0,6562.82,3453.6,October,4191.71,9155.1,6473.58,5078.92
63,23626.0,m2,10504.96,0.44,2430.0,1080.46,2149.22,January,2852.72,3568.48,1769.89,2248.8
64,20421.0,m2,145692.19,7.13,9380.0,66920.95,69005.5,October,77534.32,62799.65,65471.8,64335.79
64,20421.0,m2,145692.19,7.13,9380.0,66920.95,56500.56,December,77534.32,58614.41,58852.93,61329.18
67,1.0,item,11229.5,11229.5,0.5,5614.75,4052.5,December,1899.18,3861.35,4344.59,2714.59
68,1893.0,m2,30573.16,16.15,350.0,5652.72,16470.64,October,14835.1,14180.57,18661.64,14477.13
68,1893.0,m2,30573.16,16.15,1543.0,24920.43,30601.49,November,13330.1,24328.12,31777.95,20757.75
71,418.0,m,23438.71,56.07,48.0,2691.53,3120.0,November,3058.72,3042.42,1367.35,1943.7
71,418.0,m,23438.71,56.07,185.0,10373.59,561.25,January,5114.24,2869.42,180.29,2400.8
72,35.0,m3,21000.0,600.0,20.0,12000.0,3440.32,November,4719.61,5441.16,2950.25,4833.2
72,35.0,m3,21000.0,600.0,15.0,9000.0,1411.66,December,1849.43,2775.21,501.11,1894.98
73,517.0,m2,15824.81,30.61,517.0,15824.81,3600.0,March,1628.04,3876.97,3111.38,3484.86
75,83.0,m,3526.0,42.48,6.0,254.89,269.28,November,1153.96,1722.17,1255.91,1034.98
75,83.0,m,3526.0,42.48,77.0,3271.11,441.9,January,5795.74,1034.23,-788.58,1883.34
81,102.48,m,41052.64,400.59,52.48,21023.06,17910.89,October,19644.48,15867.29,17990.31,16365.26
87,1780.0,m,63795.66,35.84,500.0,17920.13,9624.46,October,14917.02,8626.87,7161.99,9171.4
87,1780.0,m,63795.66,35.84,910.0,32614.64,590.0,November,5841.9,3760.19,-1010.22,3384.64
103,1.0,item,13500.0,13500.0,1.0,13500.0,13840.0,December,29799.52,11697.75,7401.59,16552.88
141,933.0,hrs,27953.55,29.96,200.0,5992.19,7276.11,October,5114.24,8639.49,11325.91,7761.99
141,933.0,hrs,27953.55,29.96,200.0,5992.19,318.15,November,5114.24,8483.23,10327.54,7618.23
141,933.0,hrs,27953.55,29.96,40.0,1198.44,3629.79,January,958.97,2284.9,2554.46,2026.23
141,933.0,hrs,27953.55,29.96,40.0,1198.44,2421.15,February,1824.94,2417.02,2815.44,2531.03
181,214.0,m,64479.51,301.31,90.0,27117.55,18706.98,October,22048.5,17001.5,17674.45,17572.88
181,214.0,m,64479.51,301.31,54.0,16270.53,4400.0,November,6137.31,12062.62,14042.53,9149.38
902,26.0,weeks,55235.0,2124.42,8.0,16995.38,22765.07,October,14917.02,17191.33,19710.78,16349.02
902,26.0,weeks,55235.0,2124.42,3.0,6373.27,3819.48,November,6137.31,7651.19,7103.61,7181.09
902,26.0,weeks,55235.0,2124.42,2.0,4248.85,344.95,December,3058.72,4286.63,3493.68,3742.92
902,26.0,weeks,55235.0,2124.42,2.0,4248.85,3142.49,January,3058.72,3088.61,1320.29,3016.5
902,26.0,weeks,55235.0,2124.42,3.0,6373.27,3104.55,February,6137.31,4107.56,2228.89,4828.85
902,26.0,weeks,55235.0,2124.42,4.0,8497.69,1011.63,March,6137.31,4614.45,3158.49,4971.03
903,13.0,weeks,16250.0,1250.0,4.0,5000.0,3587.56,October,5051.4,3212.07,3213.59,3663.64
903,13.0,weeks,16250.0,1250.0,6.0,7500.0,5234.84,November,2514.97,5384.31,6202.43,4281.82
903,13.0,weeks,16250.0,1250.0,1.0,1250.0,340.9,December,645.88,783.71,831.4,341.0
904,1.0,item,25500.0,25500.0,0.5,12750.0,1800.72,October,4719.61,3702.31,3334.08,3870.69
905,1.0,item,0.0,0.0,0.1,0.0,433.39,October,609.44,1058.23,1723.95,843.71
905,1.0,item,0.0,0.0,0.1,0.0,589.35,November,609.44,927.46,765.97,716.43
905,1.0,item,0.0,0.0,0.1,0.0,69.5,December,303.01,491.06,908.42,80.71
905,1.0,item,0.0,0.0,0.2,0.0,1009.92,January,1158.64,843.26,993.12,624.21
905,1.0,item,0.0,0.0,0.2,0.0,264.97,February,303.01,498.23,896.55,282.11
905,1.0,item,0.0,0.0,0.1,0.0,93.63,March,1158.64,432.91,966.97,279.69
907,1.0,item,13800.0,13800.0,0.5,6900.0,4052.11,October,2514.97,4144.12,5174.7,3595.88
C25,100.0,m3,16421.23,164.21,50.0,8210.61,1214.48,October,13406.07,5815.02,4133.29,7872.29
C25,100.0,m3,16421.23,164.21,30.0,4926.37,435.0,November,3058.72,2027.09,160.16,2081.55
C32,120.0,m3,26112.32,217.6,40.0,8704.11,16747.12,October,13406.07,12592.42,14843.96,12880.02
C32,120.0,m3,26112.32,217.6,37.0,8051.3,809.6,March,1849.43,3267.21,3180.73,2892.27
CKM,43.0,m3,8427.72,195.99,18.0,3527.88,5359.5,January,3057.01,4401.84,2831.99,3487.83
CSA,34.0,tonne,22220.82,653.55,12.0,7842.64,12410.0,October,4719.61,10126.88,13134.23,8305.24
QMS,455.0,m3,11300.58,24.84,130.0,3228.74,2674.76,October,1899.18,3706.96,6419.38,3035.49
QMS,455.0,m3,11300.58,24.84,75.0,1862.73,1062.23,January,958.97,1354.37,2819.55,947.81
RSM,1032.0,m2,10988.85,10.65,432.0,4599.99,1742.5,January,2472.03,3682.83,4108.89,2700.86
SWP,2.0,each,49.39,24.7,2.0,49.39,480.0,October,609.44,909.76,1266.61,479.9
11,135.0,hrs,32775.0,242.78,30.0,7283.33,2701.68,November,4719.61,6019.63,6062.14,5635.11
11,135.0,hrs,32775.0,242.78,15.0,3641.67,1110.7,January,3058.72,1857.07,763.51,2144.06
11,135.0,hrs,32775.0,242.78,15.0,3641.67,3836.0,February,3058.72,3417.22,3487.46,3301.41
11,135.0,hrs,32775.0,242.78,15.0,3641.67,1430.0,March,3058.72,4249.96,5178.75,3612.09
11,135.0,hrs,32775.0,242.78,15.0,3641.67,2902.1,April,3058.72,2923.33,1569.98,3047.39
11,135.0,hrs,32775.0,242.78,15.0,3641.67,10018.8,May,3058.72,7607.48,9671.85,6429.61
12,172.0,hrs,23900.0,138.95,15.0,2084.3,1634.92,March,3058.72,2909.5,3048.17,2655.96
12,172.0,hrs,23900.0,138.95,15.0,2084.3,6277.5,June,3058.72,4704.22,5657.43,4076.4
12,172.0,hrs,23900.0,138.95,55.0,7642.44,2179.5,July,5114.24,6497.63,7166.06,5740.8
12,172.0,hrs,23900.0,138.95,27.0,3751.74,967.0,August,3058.72,1620.93,173.82,1999.07
13,1.0,item,25425.0,25425.0,0.1,2542.5,1591.54,November,2096.28,2065.71,1455.68,1944.12
13,1.0,item,25425.0,25425.0,0.1,2542.5,759.27,December,2096.28,1352.81,1089.13,1225.44
13,1.0,item,25425.0,25425.0,0.1,2542.5,320.09,January,2096.28,779.44,-94.58,902.91
13,1.0,item,25425.0,25425.0,0.1,2542.5,1940.8,February,2096.28,1818.92,1804.44,1723.6
13,1.0,item,25425.0,25425.0,0.1,2542.5,5084.08,April,2096.28,3750.99,3730.62,3038.2
13,1.0,item,25425.0,25425.0,0.1,2542.5,3205.9,May,2096.28,2764.78,2848.43,2753.99
13,1.0,item,25425.0,25425.0,0.1,2542.5,1772.27,June,2096.28,1583.33,1568.79,1603.48
33,240.0,m3,9148.26,38.12,40.0,1524.71,2940.25,December,1824.94,1772.71,1210.51,1462.72
33,240.0,m3,9148.26,38.12,40.0,1524.71,1830.2,March,2954.94,1720.02,1214.23,1751.04
33,240.0,m3,9148.26,38.12,80.0,3049.42,2480.34,April,1899.18,2454.28,927.86,2214.05
33,240.0,m3,9148.26,38.12,80.0,3049.42,1302.39,May,1899.18,2335.19,1419.53,2490.51
41,1.0,item,78845.11,78845.11,0.25,19711.28,1022.8,February,1405.82,3297.72,1735.96,2206.04
41,1.0,item,78845.11,78845.11,0.25,19711.28,815.12,March,1405.82,2146.84,284.42,1234.11
41,1.0,item,78845.11,78845.11,0.25,19711.28,4909.51,May,5554.16,4824.93,2741.03,4909.61
53,7825.0,m3,129418.15,16.54,775.0,12817.77,18654.08,November,15290.35,17457.16,16756.1,16081.54
53,7825.0,m3,129418.15,16.54,1430.0,23650.86,31519.82,January,36035.78,29786.15,30542.47,30464.3
53,7825.0,m3,129418.15,16.54,998.0,16505.98,25907.12,February,15290.35,25171.73,29230.42,21054.01
53,7825.0,m3,129418.15,16.54,869.0,14372.44,16485.97,March,15290.35,15771.31,14990.89,14721.81
53,7825.0,m3,129418.15,16.54,1700.0,28116.4,49761.08,April,36035.78,28279.79,26681.69,29758.93
53,7825.0,m3,129418.15,16.54,443.0,7326.8,24637.59,May,27472.44,21208.65,20892.84,22607.42
53,7825.0,m3,129418.15,16.54,652.0,10783.47,41248.05,June,15290.35,19066.55,20452.73,17068.49
53,7825.0,m3,129418.15,16.54,838.0,13859.73,8748.9,July,15290.35,15469.14,14141.21,14536.45
57,2605.0,m3,138016.52,52.98,940.0,49802.51,42660.38,April,46217.61,46296.34,50846.74,44666.89
57,2605.0,m3,138016.52,52.98,835.0,44239.46,39222.13,May,46217.61,42904.07,46823.87,42729.43
57,2605.0,m3,138016.52,52.98,639.0,33855.11,64950.06,July,62249.6,55788.07,65168.02,55261.5
